[rosmaster.main][INFO] 2019-04-02 21:27:00,529: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-04-02 21:27:00,529: Starting ROS Master Node
[xmlrpc][INFO] 2019-04-02 21:27:00,530: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-04-02 21:27:00,530: Started XML-RPC server [http://9fe54ba3caf9:11311/]
[xmlrpc][INFO] 2019-04-02 21:27:00,530: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-04-02 21:27:00,530: Master initialized: port[11311], uri[http://9fe54ba3caf9:11311/]
[rosmaster.master][INFO] 2019-04-02 21:27:00,543: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-04-02 21:27:00,544: +PARAM [/roslaunch/uris/host_9fe54ba3caf9__40545] by /roslaunch
[rosmaster.master][INFO] 2019-04-02 21:27:00,796: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-04-02 21:27:00,796: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-04-02 21:27:00,801: +SERVICE [/rosout/get_loggers] /rosout http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:27:00,801: +SERVICE [/rosout/set_logger_level] /rosout http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:27:00,803: +PUB [/rosout_agg] /rosout http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:27:00,806: +SUB [/rosout] /rosout http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:44:16,839: +PUB [/rosout] /depthtest http://9fe54ba3caf9:44961/
[rosmaster.master][INFO] 2019-04-02 21:44:16,854: +SERVICE [/depthtest/get_loggers] /depthtest http://9fe54ba3caf9:44961/
[rosmaster.master][INFO] 2019-04-02 21:44:16,856: +SERVICE [/depthtest/set_logger_level] /depthtest http://9fe54ba3caf9:44961/
[rosmaster.master][INFO] 2019-04-02 21:44:16,860: +SUB [/camera/depth/image_raw] /depthtest http://9fe54ba3caf9:44961/
[rosmaster.master][INFO] 2019-04-02 21:44:16,895: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:44:27,139: -SUB [/camera/depth/image_raw] /depthtest http://9fe54ba3caf9:44961/
[rosmaster.master][INFO] 2019-04-02 21:44:27,139: -PUB [/rosout] /depthtest http://9fe54ba3caf9:44961/
[rosmaster.master][INFO] 2019-04-02 21:44:27,139: -SERVICE [/depthtest/get_loggers] /depthtest rosrpc://9fe54ba3caf9:38533
[rosmaster.master][INFO] 2019-04-02 21:44:27,140: -SERVICE [/depthtest/set_logger_level] /depthtest rosrpc://9fe54ba3caf9:38533
[rosmaster.master][INFO] 2019-04-02 21:44:27,211: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:44:59,227: +PUB [/rosout] /depthtest http://9fe54ba3caf9:36719/
[rosmaster.master][INFO] 2019-04-02 21:44:59,231: +SERVICE [/depthtest/get_loggers] /depthtest http://9fe54ba3caf9:36719/
[rosmaster.master][INFO] 2019-04-02 21:44:59,233: +SERVICE [/depthtest/set_logger_level] /depthtest http://9fe54ba3caf9:36719/
[rosmaster.master][INFO] 2019-04-02 21:44:59,237: +SUB [/camera/depth/image_raw] /depthtest http://9fe54ba3caf9:36719/
[rosmaster.master][INFO] 2019-04-02 21:44:59,257: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
